date,P_mix,T_max,T_min,Q
1986-08-13,0.5,16.1,6.4,9.3776158250911
1986-08-14,0.0,18.0,6.8,9.332639250390423
1986-08-15,13.2,21.2,8.0,9.400104112441436
1986-08-16,0.0,21.1,10.0,10.99677251431546
1986-08-17,0.8,23.0,11.3,10.209682457053617
1986-08-18,10.6,20.1,10.4,11.55897969807392
1986-08-19,11.2,13.5,8.5,9.849869859448205
1986-08-20,0.0,13.5,6.3,10.681936491410724
1986-08-21,0.0,17.3,5.0,7.398646538261322
1986-08-22,13.5,20.7,7.8,8.208224882873504
1986-08-23,14.1,11.5,6.5,12.031233732431026
1986-08-24,16.1,8.7,4.0,7.668505986465383
1986-08-25,0.0,13.6,1.8,6.7914627798021865
1986-08-26,8.9,18.0,8.0,6.723997917751172
1986-08-27,2.0,7.3,5.9,8.140760020822489
1986-08-28,14.3,5.0,3.0,5.77948984903696
1986-08-29,4.5,6.2,-0.8,5.419677251431546
1986-08-30,0.0,9.1,0.3,4.700052056220718
1986-08-31,0.0,10.2,0.9,4.27277459656429
1986-09-01,0.0,12.0,1.2,4.092868297761583
1986-09-02,0.0,14.3,5.7,4.025403435710567
1986-09-03,7.2,18.0,4.8,4.3627277459656435
1986-09-04,0.0,11.0,4.0,5.622071837584592
1986-09-05,0.0,16.2,2.6,4.295262883914628
1986-09-06,0.0,18.3,5.5,4.340239458615305
1986-09-07,0.0,16.0,7.9,4.5426340447683495
1986-09-08,0.0,16.5,5.0,4.5426340447683495
1986-09-09,8.3,10.6,6.5,4.587610619469026
1986-09-10,0.0,12.1,5.5,4.430192608016657
1986-09-11,0.0,15.1,3.1,3.8679854242581992
1986-09-12,0.3,16.2,5.8,3.8454971369078605
1986-09-13,0.0,17.2,7.5,4.655075481520042
1986-09-14,0.4,16.9,9.5,5.059864653826133
1986-09-15,0.0,20.3,10.0,5.712024986985945
1986-09-16,0.7,21.1,11.7,6.88141592920354
1986-09-17,21.4,17.3,11.1,9.175221238938052
1986-09-18,6.1,14.9,8.1,8.927850078084331
1986-09-19,7.9,13.4,7.4,7.893388859968766
1986-09-20,10.7,12.8,9.1,9.197709526288392
1986-09-21,0.0,15.1,5.3,6.88141592920354
1986-09-22,0.0,15.2,4.2,4.9249349297241025
1986-09-23,0.0,16.8,4.5,4.115356585111921
1986-09-24,0.1,13.5,6.6,4.025403435710567
1986-09-25,0.6,10.2,5.0,4.160333159812597
1986-09-26,0.3,8.1,5.5,4.047891723060906
1986-09-27,0.0,11.7,2.5,3.5981259760541384
1986-09-28,0.0,11.8,2.5,3.0584070796460177
1986-09-29,0.0,12.7,2.7,2.8560124934929725
1986-09-30,0.0,16.5,4.1,2.945965642894326
1986-10-01,0.0,19.0,6.9,3.2158250910983868
1986-10-02,0.0,19.0,6.9,3.283289953149401
1986-10-03,0.0,18.2,6.6,3.3957313899010932
1986-10-04,0.0,17.7,7.5,3.6206142634044776
1986-10-05,0.0,18.0,8.0,3.5756376887038
1986-10-06,0.0,16.5,7.0,3.4856845393024467
1986-10-07,0.0,15.5,5.8,2.878500780843311
1986-10-08,0.0,12.6,4.6,2.6086413326392504
1986-10-09,0.0,13.1,3.2,2.293805309734513
1986-10-10,0.0,15.1,4.9,2.190359187922957
1986-10-11,0.0,13.3,6.4,2.2713170223841748
1986-10-12,0.0,12.0,4.1,2.1318896408120778
1986-10-13,0.0,15.9,5.5,2.179115044247788
1986-10-14,0.0,16.0,6.5,2.3612701717855282
1986-10-15,0.0,13.5,5.1,2.406246746486205
1986-10-16,0.0,13.6,5.1,2.1858615304528892
1986-10-17,0.0,11.9,4.5,1.9497345132743367
1986-10-18,0.0,13.1,3.4,1.6191566892243623
1986-10-19,7.7,7.9,3.0,1.5044664237376368
1986-10-20,15.5,12.6,1.0,1.5404476834981782
1986-10-21,8.1,11.1,-2.0,1.826048932847475
1986-10-22,25.3,15.0,4.3,2.900989068193649
1986-10-23,4.2,3.1,-1.1,4.857470067673087
1986-10-24,0.0,5.2,-2.7,2.4961998958875586
1986-10-25,7.3,6.7,-0.6,1.7945653305570015
1986-10-26,2.7,-0.2,-3.8,1.5224570536179074
1986-10-27,0.0,1.9,-6.0,1.3470484122852684
1986-10-28,0.0,8.5,-3.5,1.2750858927641853
1986-10-29,6.3,5.5,1.5,1.4100156168662157
1986-10-30,0.0,4.6,-0.9,1.6259031754294637
1986-10-31,0.0,7.9,-2.0,1.3627902134305048
1986-11-01,4.5,7.0,0.9,1.3133159812597606
1986-11-02,12.7,2.3,-2.7,1.6686309213951067
1986-11-03,0.0,-0.5,-5.6,1.434752732951588
1986-11-04,0.0,1.4,-6.5,1.2975741801145237
1986-11-05,0.0,4.4,-5.1,1.2188651743883394
1986-11-06,0.0,6.2,-0.4,1.171639770952629
1986-11-07,0.0,11.1,-1.4,1.1581467985424259
1986-11-08,0.0,11.5,2.7,1.1469026548672565
1986-11-09,0.0,6.9,-1.3,1.0996772514315463
1986-11-10,0.0,7.0,-1.2,1.059198334200937
1986-11-11,0.0,7.8,-0.5,1.029963560645497
1986-11-12,0.0,7.4,-0.3,1.0074752732951588
1986-11-13,0.0,9.8,-0.5,0.9827381572097865
1986-11-14,0.0,11.0,4.9,0.9692451847995834
1986-11-15,0.0,10.6,4.9,0.9782404997397188
1986-11-16,0.0,8.9,2.3,0.9445080687142113
1986-11-17,3.6,9.5,2.5,0.9175221238938053
1986-11-18,0.1,3.0,-1.4,0.9377615825091099
1986-11-19,0.0,5.6,-2.0,0.8837896928682978
1986-11-20,12.9,6.0,0.5,0.868047891723061
1986-11-21,2.9,4.2,-2.2,0.9242686100989069
1986-11-22,6.8,6.8,0.0,0.9939823008849558
1986-11-23,20.1,-0.4,-4.5,1.2458511192087456
1986-11-24,0.0,0.0,-8.0,1.0457053617907341
1986-11-25,0.0,6.6,-3.0,1.0119729307652265
1986-11-26,0.8,8.7,-0.6,1.0457053617907341
1986-11-27,0.0,-0.5,-7.0,0.9849869859448204
1986-11-28,0.0,5.3,-7.0,0.8837896928682978
1986-11-29,0.0,2.6,-5.2,0.838813118167621
1986-11-30,0.0,8.4,-5.0,0.8140760020822491
1986-12-01,0.0,7.0,-1.4,0.8185736595523165
1986-12-02,0.0,6.4,-2.7,0.798334200937012
1986-12-03,0.0,9.0,-0.3,0.7938365434669441
1986-12-04,0.0,8.6,0.3,0.784841228526809
1986-12-05,0.0,8.2,-0.5,0.7556064549713691
1986-12-06,0.0,8.1,-1.5,0.7443623112961999
1986-12-07,0.0,5.1,-1.8,0.7556064549713691
1986-12-08,0.0,8.0,0.0,0.7511087975013013
1986-12-09,0.9,4.4,-1.4,0.7398646538261322
1986-12-10,0.0,-0.6,-2.8,0.742113482561166
1986-12-11,0.0,5.6,-5.0,0.7218740239458615
1986-12-12,0.0,4.0,-2.8,0.7038833940655906
1986-12-13,4.1,3.3,-3.1,0.7128787090057263
1986-12-14,2.6,-0.4,-2.0,0.7061322228006247
1986-12-15,4.1,4.2,-8.8,0.688141592920354
1986-12-16,6.9,0.0,-4.5,0.7196251952108278
1986-12-17,5.0,0.7,-5.2,0.7128787090057263
1986-12-18,14.4,5.5,-5.2,0.7488599687662676
1986-12-19,13.7,0.1,-6.8,1.1266631962519518
1986-12-20,6.6,-5.3,-7.8,0.8882873503383655
1986-12-21,17.4,-6.1,-7.9,0.8433107756376887
1986-12-22,8.2,-8.1,-9.6,0.8073295158771472
1986-12-23,0.1,-8.9,-14.1,0.7646017699115044
1986-12-24,0.0,-10.8,-16.0,0.7151275377407601
1986-12-25,11.5,-2.5,-17.2,0.6701509630400833
1986-12-26,17.2,-0.7,-9.5,0.7488599687662676
1986-12-27,17.2,-3.0,-7.6,0.7128787090057263
1986-12-28,3.6,-0.2,-7.7,0.6926392503904217
1986-12-29,0.7,2.3,-4.7,0.6971369078604893
1986-12-30,0.0,3.6,-5.5,0.6948880791254554
1986-12-31,1.2,4.0,-1.2,0.7061322228006247
1987-01-01,15.8,7.1,-1.0,1.0906819364914109
1987-01-02,19.0,-1.5,-4.0,1.9317438833940657
1987-01-03,5.4,-3.4,-4.6,1.2188651743883394
1987-01-04,8.0,-0.6,-12.5,0.9827381572097865
1987-01-05,4.6,1.9,-9.3,0.9332639250390423
1987-01-06,15.6,-3.0,-5.9,0.90852680895367
1987-01-07,4.4,-7.0,-9.9,0.8747943779281625
